Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
8904015,4'x10' HardiePanel Smooth - Primed,JAMESHARDIE,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA)
AGB15512BS,1x6-12' Brownstone Grooved - Harvest Azek PVC Decking,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151)
S03-05226-IS,S0305226IS IV Switch / Pilot,-- Unbranded --,-- No Unilog Brand --,Leviton,Leviton Mfg Co (4927)
3052-20,"3052-20 Milw M12 Fuel 1/4"" Rachet",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
49-94-1940,"49-94-1940 Milw 14""x1/8""x1"" Masonry Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031)
DC5004WE,DC5004WE SQ Elect Dryer Wh,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE)
35112,35112 Mason Line Twist Yellow - 270',-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,U S Tape Company (6694)
38-E,Dark Chocolate 38-E Mortar - Type N,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Rees Cast Stone Company (REECA)
DCL183,Dewalt DCL183 Light - Rechargeable,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
3034-20,"3034-20 Milw M18 30"" - Hedge Trimmer",-- Unbranded --,-- No Unilog Brand --,Milwaukee,Milwaukee Accessory (4031)
ASH-40-40-04,1.5x1.5x13' Legacy Emseal Tape,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Emseal Joint Systems Ltd (EMSJO)
MWUG36010625,MWUG36010625 BLK 2X Aerial Snow Heated Glove,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Tech Gear 5.7 Inc (TECGE)
